name,team,w,l,era,gs,g,sv,ip,h,er,hr,so,bb,whip,k/9,bb/9,fip,war,ra9-war,adp,playerid,so/bb,winpercentage,ranking
Craig Kimbrel,Red Sox,4.0,2.0,2.6,0.0,65.0,33.0,65.0,42.0,19.0,6.0,101.0,24.0,1.02,13.96,3.32,2.45,1.5,1.7,45.6,6655,4.208333333333333,2.0,588
Kenley Jansen,Dodgers,4.0,2.0,2.75,0.0,65.0,38.0,65.0,46.0,20.0,7.0,91.0,15.0,0.95,12.59,2.1,2.6,1.4,1.3,38.5,3096,6.066666666666666,2.0,509
Andrew Miller,Indians,4.0,2.0,2.7,0.0,65.0,13.0,65.0,47.0,19.0,6.0,91.0,21.0,1.04,12.66,2.88,2.66,1.4,1.5,204.3,6785,4.333333333333333,2.0,547
Clayton Kershaw,Dodgers,16.0,8.0,2.76,32.0,32.0,0.0,209.0,174.0,64.0,21.0,240.0,39.0,1.02,10.34,1.68,2.81,6.3,6.2,6.3,2036,6.153846153846154,2.0,475
Noah Syndergaard,Mets,13.0,9.0,3.13,31.0,31.0,0.0,182.0,153.0,63.0,18.0,220.0,46.0,1.09,10.84,2.27,2.88,5.4,4.3,34.5,11762,4.782608695652174,1.4444444444444444,490
Dellin Betances,Yankees,3.0,2.0,2.93,0.0,55.0,2.0,55.0,37.0,18.0,5.0,82.0,26.0,1.15,13.37,4.3,2.93,1.1,1.0,278.1,6216,3.1538461538461537,1.5,762
Aroldis Chapman,Yankees,4.0,2.0,2.83,0.0,65.0,29.0,65.0,45.0,20.0,7.0,95.0,27.0,1.11,13.19,3.78,2.93,1.3,1.4,62.6,10233,3.5185185185185186,2.0,668
Felipe Rivero,Pirates,4.0,3.0,2.91,0.0,65.0,31.0,65.0,52.0,21.0,5.0,80.0,23.0,1.16,11.12,3.23,2.98,1.1,1.2,95.0,12076,3.4782608695652173,1.3333333333333333,595
Chris Sale,Red Sox,15.0,7.0,3.18,29.0,29.0,0.0,192.0,156.0,68.0,23.0,242.0,42.0,1.03,11.34,1.98,3.03,5.4,5.6,12.3,10603,5.761904761904762,2.142857142857143,475
Ken Giles,Astros,4.0,3.0,3.2,0.0,65.0,33.0,65.0,50.0,23.0,7.0,86.0,24.0,1.15,11.97,3.36,3.1,1.1,1.0,94.0,12910,3.5833333333333335,1.3333333333333333,608
Corey Knebel,Brewers,3.0,3.0,3.21,0.0,65.0,30.0,65.0,48.0,23.0,7.0,93.0,29.0,1.19,12.93,4.08,3.11,1.1,1.1,61.1,15010,3.206896551724138,1.0,759
Trevor Rosenthal,Cardinals,0.0,0.0,3.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.22,11.76,4.08,3.16,0.0,0.1,615.1,10745,0,0,1157
Corey Kluber,Indians,14.0,8.0,3.27,29.0,29.0,0.0,194.0,166.0,71.0,23.0,224.0,45.0,1.09,10.41,2.08,3.18,5.2,5.3,13.1,2429,4.977777777777778,1.75,485
Ryan Madson,Nationals,4.0,3.0,3.26,0.0,65.0,14.0,65.0,58.0,24.0,6.0,70.0,19.0,1.18,9.65,2.57,3.21,1.0,0.9,447.1,1852,3.6842105263157894,1.3333333333333333,556
Edwin Diaz,Mariners,4.0,3.0,3.19,0.0,65.0,32.0,65.0,50.0,23.0,7.0,84.0,24.0,1.13,11.61,3.29,3.22,1.0,1.0,90.5,14710,3.5,1.3333333333333333,603
Chad Green,Yankees,3.0,2.0,3.22,0.0,45.0,0.0,45.0,36.0,16.0,6.0,56.0,13.0,1.1,11.28,2.65,3.23,0.8,0.8,271.4,15552,4.3076923076923075,1.5,554
A.J. Minter,Braves,1.0,0.0,3.17,0.0,10.0,0.0,10.0,8.0,4.0,1.0,13.0,4.0,1.21,11.87,3.93,3.25,0.1,0.1,459.7,18655,3.25,0,885
Zach Britton,Orioles,2.0,2.0,3.07,0.0,40.0,11.0,40.0,37.0,14.0,3.0,40.0,15.0,1.3,9.03,3.48,3.27,0.7,0.7,230.3,3240,2.6666666666666665,1.0,758
Walker Buehler,Dodgers,5.0,3.0,3.18,8.0,33.0,0.0,71.0,57.0,25.0,7.0,88.0,29.0,1.21,11.08,3.73,3.28,1.4,1.3,368.9,19374,3.0344827586206895,1.6666666666666667,668
Max Scherzer,Nationals,15.0,9.0,3.39,32.0,32.0,0.0,207.0,170.0,78.0,27.0,257.0,56.0,1.09,11.15,2.41,3.3,5.0,5.0,10.3,3137,4.589285714285714,1.6666666666666667,492
Justin Wilson,Cubs,3.0,2.0,3.16,0.0,55.0,2.0,55.0,42.0,19.0,5.0,70.0,24.0,1.22,11.4,4.01,3.33,0.8,0.9,574.0,4301,2.9166666666666665,1.5,734
Stephen Strasburg,Nationals,14.0,8.0,3.44,31.0,31.0,0.0,188.0,165.0,72.0,22.0,216.0,52.0,1.15,10.3,2.46,3.33,4.5,4.3,23.8,10131,4.153846153846154,1.75,502
Brad Hand,Padres,3.0,3.0,3.35,0.0,65.0,29.0,65.0,55.0,24.0,7.0,76.0,23.0,1.2,10.58,3.13,3.36,0.8,0.8,117.5,9111,3.3043478260869565,1.0,630
Michael Feliz,Pirates,3.0,3.0,3.42,0.0,55.0,0.0,55.0,46.0,21.0,6.0,65.0,21.0,1.22,10.7,3.37,3.38,0.7,0.6,669.3,11903,3.0952380952380953,1.0,672
Anthony Swarzak,Mets,3.0,3.0,3.38,0.0,65.0,2.0,65.0,57.0,24.0,7.0,72.0,19.0,1.18,9.9,2.68,3.39,0.9,0.7,450.3,7466,3.789473684210526,1.0,584
Mark Melancon,Giants,3.0,3.0,3.33,0.0,65.0,22.0,65.0,62.0,24.0,5.0,58.0,18.0,1.23,8.01,2.48,3.39,0.7,0.7,171.9,4264,3.2222222222222223,1.0,662
Sean Doolittle,Nationals,4.0,3.0,3.36,0.0,65.0,22.0,65.0,53.0,24.0,8.0,78.0,19.0,1.11,10.83,2.6,3.4,0.8,0.9,127.0,1581,4.105263157894737,1.3333333333333333,539
Jacob deGrom,Mets,13.0,10.0,3.47,32.0,32.0,0.0,203.0,180.0,78.0,24.0,226.0,57.0,1.16,10.0,2.51,3.41,4.7,4.0,33.9,10954,3.9649122807017543,1.3,515
Archie Bradley,Diamondbacks,3.0,3.0,3.48,0.0,65.0,11.0,65.0,57.0,25.0,7.0,74.0,24.0,1.24,10.18,3.3,3.42,0.9,0.9,185.3,12918,3.0833333333333335,1.0,657
Scott Alexander,Dodgers,4.0,3.0,3.13,0.0,65.0,0.0,65.0,60.0,23.0,4.0,61.0,25.0,1.31,8.39,3.45,3.43,0.8,0.9,616.4,10591,2.44,1.3333333333333333,738
Carlos Carrasco,Indians,13.0,8.0,3.48,29.0,29.0,0.0,178.0,161.0,69.0,21.0,191.0,45.0,1.15,9.63,2.27,3.45,4.2,4.3,35.4,6632,4.2444444444444445,1.625,505
Pedro Strop,Cubs,3.0,2.0,3.31,0.0,45.0,0.0,45.0,37.0,17.0,4.0,52.0,19.0,1.25,10.35,3.78,3.47,0.6,0.6,607.9,4070,2.736842105263158,1.5,716
Roberto Osuna,Blue Jays,4.0,3.0,3.56,0.0,65.0,32.0,65.0,55.0,26.0,8.0,76.0,18.0,1.13,10.46,2.52,3.48,0.9,0.8,80.6,13764,4.222222222222222,1.3333333333333333,538
Raisel Iglesias,Reds,3.0,3.0,3.49,0.0,65.0,32.0,65.0,55.0,25.0,8.0,78.0,22.0,1.18,10.79,3.04,3.48,0.9,0.8,99.3,17130,3.5454545454545454,1.0,613
Chris Archer,Rays,13.0,10.0,3.47,32.0,32.0,0.0,196.0,168.0,76.0,24.0,222.0,61.0,1.17,10.17,2.81,3.48,4.3,4.4,51.5,6345,3.639344262295082,1.3,531
Drew Steckenrider,Marlins,3.0,3.0,3.41,0.0,55.0,0.0,55.0,46.0,21.0,5.0,64.0,25.0,1.28,10.5,4.04,3.49,0.6,0.6,365.0,18806,2.56,1.0,791
James Hoyt,Astros,2.0,1.0,3.58,0.0,30.0,0.0,30.0,26.0,12.0,3.0,36.0,11.0,1.22,10.8,3.31,3.49,0.4,0.3,722.3,14605,3.272727272727273,2.0,660
Luke Gregerson,Cardinals,3.0,3.0,3.54,0.0,65.0,19.0,65.0,60.0,26.0,6.0,65.0,21.0,1.24,8.93,2.88,3.5,0.8,0.6,439.8,4090,3.0952380952380953,1.0,644
Blake Parker,Angels,4.0,3.0,3.4,0.0,65.0,11.0,65.0,54.0,25.0,8.0,74.0,22.0,1.17,10.19,3.05,3.54,0.7,0.8,207.3,5224,3.3636363636363638,1.3333333333333333,581
James Paxton,Mariners,12.0,9.0,3.53,29.0,29.0,0.0,176.0,161.0,69.0,20.0,178.0,51.0,1.21,9.13,2.64,3.54,3.8,3.7,78.1,11828,3.4901960784313726,1.3333333333333333,544
Shohei Ohtani,Angels,11.0,7.0,3.49,24.0,24.0,0.0,148.0,119.0,57.0,18.0,183.0,59.0,1.2,11.09,3.57,3.56,3.1,3.3,74.3,19755,3.1016949152542375,1.5714285714285714,620
Danny Salazar,Indians,8.0,6.0,3.51,16.0,46.0,0.0,120.0,99.0,47.0,15.0,148.0,45.0,1.2,11.04,3.36,3.56,2.3,2.5,175.4,5867,3.2888888888888888,1.3333333333333333,602
Brett Cecil,Cardinals,3.0,3.0,3.51,0.0,65.0,15.0,65.0,59.0,25.0,7.0,66.0,21.0,1.23,9.16,2.89,3.56,0.7,0.6,693.3,2660,3.142857142857143,1.0,639
Jose Quintana,Cubs,14.0,9.0,3.46,32.0,32.0,0.0,196.0,178.0,75.0,23.0,199.0,55.0,1.19,9.13,2.51,3.57,4.3,4.3,77.2,11423,3.618181818181818,1.5555555555555556,528
Carl Edwards Jr.,Cubs,3.0,2.0,3.36,0.0,55.0,0.0,55.0,41.0,21.0,5.0,73.0,31.0,1.3,11.9,5.01,3.57,0.6,0.7,336.7,13607,2.3548387096774195,1.5,889
Will Smith,Giants,2.0,1.0,3.42,0.0,30.0,0.0,30.0,25.0,11.0,3.0,34.0,13.0,1.27,10.31,3.89,3.58,0.3,0.4,999.0,8048,2.6153846153846154,2.0,765
Nate Jones,White Sox,3.0,3.0,3.53,0.0,55.0,0.0,55.0,47.0,22.0,7.0,64.0,20.0,1.22,10.55,3.3,3.58,0.7,0.7,420.1,4696,3.2,1.0,652
Josh Ravin,Braves,2.0,1.0,3.53,0.0,30.0,0.0,30.0,24.0,12.0,3.0,38.0,15.0,1.28,11.49,4.39,3.58,0.3,0.3,999.0,2951,2.533333333333333,2.0,838
Kirby Yates,Padres,3.0,3.0,3.59,0.0,55.0,2.0,55.0,44.0,22.0,7.0,69.0,22.0,1.2,11.37,3.53,3.58,0.6,0.4,456.1,9073,3.1363636363636362,1.0,682
Andrew Chafin,Diamondbacks,3.0,2.0,3.5,0.0,55.0,0.0,55.0,49.0,21.0,5.0,59.0,23.0,1.32,9.68,3.81,3.59,0.6,0.7,999.0,12988,2.5652173913043477,1.5,755
Joe Kelly,Red Sox,3.0,2.0,3.6,0.0,55.0,0.0,55.0,49.0,22.0,6.0,59.0,21.0,1.28,9.65,3.4,3.59,0.6,0.7,667.4,9761,2.8095238095238093,1.5,670
Luis Severino,Yankees,14.0,8.0,3.55,31.0,31.0,0.0,188.0,164.0,74.0,24.0,212.0,58.0,1.18,10.14,2.75,3.6,4.4,4.3,32.2,15890,3.6551724137931036,1.75,523
Wilmer Font,Dodgers,2.0,1.0,3.56,3.0,13.0,0.0,28.0,24.0,11.0,4.0,33.0,8.0,1.13,10.55,2.66,3.6,0.5,0.4,685.3,5257,4.125,2.0,593
Tommy Kahnle,Yankees,3.0,2.0,3.53,0.0,55.0,2.0,55.0,44.0,22.0,6.0,69.0,24.0,1.25,11.29,3.99,3.61,0.7,0.7,449.6,11384,2.875,1.5,732
Tommy Hunter,Phillies,3.0,3.0,3.6,0.0,55.0,2.0,55.0,50.0,22.0,7.0,58.0,16.0,1.21,9.43,2.68,3.61,0.7,0.6,597.3,1157,3.625,1.0,613
Robbie Ray,Diamondbacks,12.0,9.0,3.63,29.0,29.0,0.0,168.0,139.0,68.0,21.0,208.0,69.0,1.24,11.16,3.7,3.62,3.6,3.8,43.9,11486,3.0144927536231885,1.3333333333333333,649
Radhames Liz,Pirates,0.0,0.0,3.61,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.26,10.07,3.5,3.62,0.0,0.1,999.0,5843,0,0,1087
Aaron Nola,Phillies,11.0,9.0,3.74,29.0,29.0,0.0,180.0,167.0,75.0,22.0,187.0,51.0,1.21,9.35,2.56,3.63,4.0,3.4,69.2,16149,3.6666666666666665,1.2222222222222223,542
Keone Kela,Rangers,3.0,2.0,3.68,0.0,55.0,0.0,55.0,46.0,23.0,7.0,68.0,23.0,1.25,11.16,3.79,3.64,0.6,0.7,406.8,14696,2.9565217391304346,1.5,711
Drew Smyly,Cubs,1.0,0.0,3.52,0.0,10.0,0.0,10.0,9.0,4.0,1.0,11.0,3.0,1.12,10.17,2.43,3.65,0.1,0.1,999.0,11760,3.6666666666666665,0,733
David Robertson,Yankees,4.0,3.0,3.64,0.0,65.0,4.0,65.0,55.0,26.0,8.0,78.0,25.0,1.22,10.83,3.44,3.65,0.8,0.8,266.9,8241,3.12,1.3333333333333333,639
Brandon Morrow,Cubs,4.0,3.0,3.55,0.0,65.0,36.0,65.0,58.0,26.0,8.0,68.0,21.0,1.22,9.44,2.91,3.65,0.7,0.7,246.1,9346,3.238095238095238,1.3333333333333333,588
Lance McCullers,Astros,10.0,6.0,3.68,24.0,24.0,0.0,137.0,124.0,56.0,14.0,145.0,53.0,1.3,9.58,3.52,3.65,2.9,2.6,158.0,14120,2.7358490566037736,1.6666666666666667,664
Rubby de la Rosa,Diamondbacks,0.0,0.0,3.74,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.23,9.89,2.93,3.66,0.0,0.1,641.0,3862,0,0,1039
Ross Stripling,Dodgers,3.0,2.0,3.6,0.0,55.0,0.0,55.0,52.0,22.0,6.0,53.0,16.0,1.23,8.63,2.58,3.66,0.5,0.4,624.8,13273,3.3125,1.5,613
Nik Turley,Pirates,2.0,2.0,3.53,0.0,40.0,0.0,40.0,34.0,16.0,5.0,46.0,16.0,1.25,10.43,3.64,3.66,0.4,0.4,999.0,5530,2.875,1.0,742
Jeurys Familia,Mets,3.0,3.0,3.59,0.0,65.0,33.0,65.0,60.0,26.0,6.0,65.0,27.0,1.34,9.05,3.77,3.67,0.6,0.4,163.7,5114,2.4074074074074074,1.0,812
Jameson Taillon,Pirates,11.0,11.0,3.86,32.0,32.0,0.0,189.0,187.0,81.0,21.0,175.0,52.0,1.27,8.32,2.48,3.67,3.7,3.1,196.9,11674,3.3653846153846154,1.0,623
Carlos Martinez,Cardinals,13.0,10.0,3.72,32.0,32.0,0.0,202.0,190.0,84.0,21.0,203.0,72.0,1.3,9.04,3.22,3.68,4.0,3.4,54.8,11682,2.8194444444444446,1.3,628
Arodys Vizcaino,Braves,3.0,3.0,3.68,0.0,65.0,23.0,65.0,55.0,27.0,7.0,76.0,28.0,1.29,10.57,3.9,3.68,0.6,0.6,149.5,5498,2.7142857142857144,1.0,769
Cody Allen,Indians,4.0,3.0,3.66,0.0,65.0,22.0,65.0,54.0,26.0,8.0,78.0,25.0,1.21,10.78,3.4,3.68,0.7,0.8,102.9,12183,3.12,1.3333333333333333,632
Liam Hendriks,Athletics,3.0,3.0,3.78,0.0,55.0,0.0,55.0,50.0,23.0,7.0,58.0,18.0,1.23,9.44,2.89,3.69,0.5,0.5,657.9,3548,3.2222222222222223,1.0,643
Blake Treinen,Athletics,3.0,3.0,3.65,0.0,65.0,10.0,65.0,61.0,26.0,6.0,63.0,26.0,1.35,8.71,3.63,3.69,0.6,0.6,197.7,12572,2.423076923076923,1.0,811
Yu Darvish,,12.0,9.0,3.82,29.0,29.0,0.0,179.0,158.0,76.0,24.0,203.0,57.0,1.2,10.18,2.84,3.7,3.6,3.4,49.7,13074,3.56140350877193,1.3333333333333333,547
Enny Romero,Nationals,2.0,2.0,3.6,0.0,45.0,0.0,45.0,38.0,18.0,5.0,52.0,19.0,1.28,10.46,3.83,3.7,0.4,0.4,630.0,4001,2.736842105263158,1.0,782
Angel Sanchez,Pirates,0.0,0.0,3.74,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.26,8.65,2.73,3.7,0.0,0.1,999.0,11776,0,0,1090
Hector Rondon,Astros,2.0,2.0,3.78,0.0,45.0,0.0,45.0,41.0,19.0,6.0,49.0,15.0,1.22,9.87,2.91,3.7,0.5,0.4,601.8,2391,3.2666666666666666,1.0,661
Alex Wood,Dodgers,10.0,7.0,3.55,24.0,24.0,0.0,140.0,132.0,55.0,16.0,135.0,42.0,1.24,8.64,2.66,3.71,2.7,2.6,96.8,13781,3.2142857142857144,1.4285714285714286,579
Jeff Samardzija,Giants,13.0,11.0,3.75,32.0,32.0,0.0,202.0,195.0,84.0,25.0,184.0,45.0,1.19,8.19,1.99,3.71,3.5,3.3,141.7,3254,4.088888888888889,1.1818181818181819,571
Francisco Liriano,,1.0,0.0,3.63,0.0,10.0,0.0,10.0,9.0,4.0,1.0,11.0,4.0,1.3,10.11,3.8,3.72,0.1,0.1,637.3,3201,2.75,0,887
Austin Pruitt,Rays,3.0,3.0,3.68,0.0,55.0,0.0,55.0,53.0,22.0,7.0,49.0,12.0,1.19,8.07,1.98,3.73,0.5,0.6,654.7,15290,4.083333333333333,1.0,657
Grant Dayton,Braves,1.0,1.0,3.65,0.0,15.0,0.0,15.0,13.0,6.0,2.0,18.0,6.0,1.22,10.67,3.44,3.74,0.1,0.1,749.0,11203,3.0,1.0,737
Tyler Lyons,Cardinals,3.0,2.0,3.71,0.0,55.0,4.0,55.0,50.0,23.0,7.0,57.0,16.0,1.21,9.37,2.66,3.75,0.5,0.4,428.1,11334,3.5625,1.5,585
Dominic Leone,Cardinals,3.0,2.0,3.71,0.0,55.0,0.0,55.0,49.0,23.0,6.0,59.0,22.0,1.28,9.65,3.56,3.75,0.5,0.4,602.9,13763,2.6818181818181817,1.5,704
D.J. Snelten,Giants,1.0,0.0,3.43,0.0,10.0,0.0,10.0,9.0,4.0,1.0,9.0,4.0,1.34,7.83,3.6,3.75,0.1,0.1,999.0,sa549813,2.25,0,998
Zack Greinke,Diamondbacks,13.0,10.0,3.8,32.0,32.0,0.0,203.0,195.0,86.0,27.0,195.0,51.0,1.21,8.67,2.28,3.76,4.0,4.2,43.7,1943,3.823529411764706,1.3,552
Jacob Barnes,Brewers,3.0,3.0,3.82,0.0,65.0,3.0,65.0,59.0,28.0,7.0,72.0,27.0,1.32,9.97,3.73,3.76,0.7,0.6,617.0,12323,2.6666666666666665,1.0,770
Kameron Loe,Braves,0.0,0.0,3.74,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.32,7.72,2.87,3.76,0.0,0.1,999.0,4422,0,0,1204
Kelvin Herrera,Royals,3.0,3.0,3.82,0.0,65.0,31.0,65.0,60.0,28.0,7.0,65.0,22.0,1.27,9.05,3.1,3.76,0.6,0.6,212.6,6033,2.9545454545454546,1.0,675
Frankie Montas,Athletics,1.0,1.0,3.75,0.0,25.0,0.0,25.0,22.0,10.0,3.0,28.0,10.0,1.28,10.22,3.71,3.77,0.2,0.3,632.4,14309,2.8,1.0,793
Will Harris,Astros,3.0,2.0,3.85,0.0,55.0,0.0,55.0,51.0,24.0,7.0,56.0,17.0,1.25,9.17,2.84,3.77,0.5,0.3,550.9,3192,3.2941176470588234,1.5,615
Erik Cordier,Marlins,0.0,0.0,3.71,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.36,10.58,4.7,3.78,0.0,0.1,999.0,4086,1.0,0,1400
Trevor Hildenberger,Twins,3.0,2.0,3.81,0.0,55.0,2.0,55.0,54.0,23.0,6.0,50.0,16.0,1.27,8.2,2.66,3.78,0.5,0.6,381.7,17002,3.125,1.5,653
Joe Smith,Astros,3.0,2.0,3.72,0.0,55.0,0.0,55.0,52.0,23.0,6.0,55.0,18.0,1.27,9.0,2.92,3.78,0.5,0.4,639.0,3281,3.0555555555555554,1.5,626
Rex Brothers,Braves,2.0,2.0,3.59,0.0,45.0,0.0,45.0,36.0,18.0,5.0,57.0,26.0,1.37,11.38,5.17,3.78,0.4,0.4,725.5,9794,2.1923076923076925,1.0,1014
David Price,Red Sox,13.0,8.0,3.81,29.0,29.0,0.0,180.0,169.0,76.0,24.0,181.0,47.0,1.2,9.03,2.34,3.79,3.3,3.8,128.8,3184,3.851063829787234,1.625,535
Bryan Shaw,Rockies,3.0,3.0,3.92,0.0,65.0,5.0,65.0,63.0,28.0,7.0,66.0,24.0,1.34,9.08,3.3,3.79,0.8,0.8,532.7,8110,2.75,1.0,737
Madison Bumgarner,Giants,13.0,11.0,3.68,32.0,32.0,0.0,207.0,193.0,85.0,27.0,198.0,50.0,1.17,8.6,2.17,3.79,3.4,3.6,26.4,5524,3.96,1.1818181818181819,549
Wade Davis,Rockies,3.0,3.0,3.85,0.0,65.0,29.0,65.0,58.0,28.0,8.0,74.0,27.0,1.3,10.31,3.71,3.79,0.8,0.9,97.9,7441,2.740740740740741,1.0,751
Rich Hill,Dodgers,10.0,7.0,3.64,24.0,24.0,0.0,141.0,120.0,57.0,18.0,159.0,51.0,1.21,10.11,3.25,3.8,2.5,2.5,118.4,4806,3.1176470588235294,1.4285714285714286,592
Aaron Barrett,Nationals,0.0,0.0,3.77,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,9.62,3.59,3.8,0.0,0.1,999.0,11243,0,0,1174
Nathan Eovaldi,Rays,1.0,1.0,3.68,2.0,12.0,0.0,19.0,18.0,8.0,2.0,18.0,5.0,1.24,8.29,2.55,3.8,0.2,0.2,584.1,9132,3.6,1.0,713
Josh Fields,Dodgers,2.0,2.0,3.66,0.0,35.0,0.0,35.0,30.0,14.0,5.0,39.0,11.0,1.18,10.04,2.95,3.8,0.3,0.3,668.5,5070,3.5454545454545454,1.0,660
Chaz Roe,Rays,2.0,2.0,3.61,0.0,40.0,0.0,40.0,35.0,16.0,4.0,42.0,16.0,1.3,9.37,3.71,3.8,0.3,0.4,694.5,9866,2.625,1.0,795
James Pazos,Mariners,2.0,2.0,3.61,0.0,45.0,0.0,45.0,38.0,18.0,5.0,51.0,21.0,1.32,10.17,4.2,3.8,0.4,0.4,617.0,13323,2.4285714285714284,1.0,872
Kyle Barraclough,Marlins,3.0,3.0,3.71,0.0,65.0,11.0,65.0,55.0,27.0,6.0,75.0,36.0,1.39,10.38,4.97,3.81,0.5,0.5,312.0,13713,2.0833333333333335,1.0,986
Jay Jackson,Padres,0.0,0.0,3.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.27,9.67,3.27,3.81,0.0,0.1,999.0,7432,0,0,1046
Carson Smith,Red Sox,3.0,3.0,3.82,0.0,65.0,4.0,65.0,61.0,28.0,6.0,63.0,27.0,1.35,8.79,3.73,3.81,0.5,0.7,596.7,13172,2.3333333333333335,1.0,838
Sam Dyson,Giants,3.0,3.0,3.66,0.0,65.0,16.0,65.0,64.0,26.0,5.0,52.0,26.0,1.39,7.23,3.61,3.81,0.4,0.5,524.8,11710,2.0,1.0,983
Jared Miller,Diamondbacks,1.0,1.0,3.65,0.0,25.0,0.0,25.0,22.0,10.0,3.0,28.0,12.0,1.35,9.91,4.22,3.81,0.2,0.3,999.0,sa827467,2.3333333333333335,1.0,923
Josh Smoker,Mets,2.0,2.0,3.66,0.0,35.0,0.0,35.0,31.0,14.0,4.0,39.0,15.0,1.29,10.12,3.75,3.81,0.3,0.3,999.0,10285,2.6,1.0,799
Dallas Keuchel,Astros,14.0,9.0,3.75,32.0,32.0,0.0,202.0,203.0,84.0,21.0,169.0,62.0,1.31,7.55,2.76,3.82,3.8,3.5,79.2,9434,2.725806451612903,1.5555555555555556,681
Garrett Richards,Angels,10.0,7.0,3.68,24.0,24.0,0.0,142.0,133.0,58.0,15.0,130.0,50.0,1.29,8.27,3.14,3.82,2.6,2.6,191.5,9784,2.6,1.4285714285714286,670
Boone Logan,Indians,2.0,2.0,3.67,0.0,35.0,0.0,35.0,30.0,14.0,4.0,41.0,15.0,1.28,10.54,3.86,3.83,0.3,0.5,999.0,5525,2.7333333333333334,1.0,798
David Phelps,Mariners,3.0,3.0,3.75,0.0,55.0,0.0,55.0,50.0,23.0,7.0,59.0,20.0,1.27,9.63,3.33,3.83,0.4,0.4,660.9,6316,2.95,1.0,702
Roberto Gomez,Giants,1.0,1.0,3.67,0.0,25.0,0.0,25.0,23.0,10.0,3.0,24.0,10.0,1.29,8.72,3.48,3.83,0.1,0.2,999.0,12963,2.4,1.0,809
Jose Contreras,Pirates,0.0,0.0,3.87,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.27,8.48,2.71,3.83,0.0,0.1,999.0,1660,0,0,1040
Juan Nicasio,Mariners,3.0,3.0,3.76,0.0,65.0,4.0,65.0,59.0,27.0,8.0,69.0,23.0,1.26,9.59,3.18,3.83,0.5,0.6,416.2,7731,3.0,1.0,678
Michael Pineda,Twins,1.0,0.0,3.95,2.0,2.0,0.0,9.0,9.0,4.0,1.0,9.0,2.0,1.23,8.49,2.19,3.83,0.2,0.2,708.6,5372,4.5,0,817
Luke Weaver,Cardinals,10.0,8.0,3.79,26.0,26.0,0.0,145.0,135.0,61.0,19.0,144.0,43.0,1.23,8.99,2.65,3.83,2.6,2.5,108.9,16918,3.3488372093023258,1.25,569
Josh Hader,Brewers,3.0,3.0,3.73,0.0,55.0,1.0,55.0,44.0,23.0,7.0,71.0,26.0,1.28,11.59,4.2,3.83,0.5,0.5,305.4,14212,2.730769230769231,1.0,817
Chris Devenski,Astros,4.0,3.0,3.83,0.0,65.0,0.0,65.0,57.0,28.0,9.0,73.0,20.0,1.19,10.05,2.82,3.83,0.6,0.5,278.2,12763,3.65,1.3333333333333333,579
Eric Yardley,Padres,0.0,0.0,3.76,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.34,7.32,2.99,3.84,0.0,0.1,999.0,sa744476,0,0,1135
Alex Reyes,Cardinals,7.0,5.0,3.74,16.0,26.0,0.0,102.0,84.0,42.0,12.0,121.0,50.0,1.31,10.67,4.36,3.84,1.7,1.7,265.4,15015,2.42,1.4,808
Jimmie Sherfy,Diamondbacks,3.0,3.0,3.81,0.0,55.0,0.0,55.0,48.0,23.0,7.0,62.0,23.0,1.28,10.17,3.7,3.84,0.5,0.6,549.2,15118,2.6956521739130435,1.0,759
John Holdzkom,Pirates,0.0,0.0,3.79,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.35,9.72,4.16,3.84,0.0,0.1,999.0,9392,0,0,1181
Koda Glover,Nationals,3.0,2.0,3.83,0.0,55.0,2.0,55.0,51.0,23.0,7.0,56.0,19.0,1.28,9.12,3.13,3.84,0.4,0.5,621.3,17695,2.9473684210526314,1.5,665
Yonny Chirinos,Rays,1.0,1.0,3.7,0.0,15.0,0.0,15.0,15.0,6.0,2.0,13.0,3.0,1.17,7.75,1.78,3.84,0.1,0.1,717.6,sa735855,4.333333333333333,1.0,724
Charlie Morton,Astros,9.0,6.0,3.9,23.0,23.0,0.0,130.0,121.0,56.0,15.0,132.0,47.0,1.3,9.18,3.23,3.84,2.4,2.2,176.0,4676,2.8085106382978724,1.5,644
Marcus Stroman,Blue Jays,13.0,10.0,3.95,32.0,32.0,0.0,200.0,206.0,88.0,20.0,164.0,60.0,1.33,7.37,2.72,3.85,3.8,3.5,119.9,13431,2.7333333333333334,1.3,721
