name,team,w,l,era,gs,g,sv,ip,h,er,hr,so,bb,whip,k/9,bb/9,fip,war,ra9-war,adp,playerid,so/bb,winpercentage,ranking
Juan Martinez,Reds,0.0,0.0,5.38,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.68,5.71,5.09,5.69,0.0,0.0,999.0,sa657740,1.0,0,3117
Jason Hoppe,Angels,0.0,0.0,5.42,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.58,5.87,4.59,5.69,0.0,0.0,999.0,sa829445,1.0,0,3001
Erling Moreno,Cubs,0.0,0.0,5.46,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.72,5.71,5.63,5.69,0.0,0.0,999.0,sa827076,1.0,0,3196
Misael Nunez,,0.0,0.0,5.41,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7,6.69,5.82,5.69,0.0,0.0,999.0,sa916093,1.0,0,3078
Reilly Hovis,Marlins,0.0,0.0,5.63,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.69,6.47,5.62,5.69,0.0,0.0,999.0,sa857700,1.0,0,3121
Kelvin De La Cruz,,0.0,0.0,5.52,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.61,5.98,4.56,5.69,0.0,0.0,999.0,sa328950,1.0,0,3008
Sergio Lizarraga,,0.0,0.0,5.52,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.64,6.66,5.23,5.69,0.0,0.0,999.0,sa200709,1.0,0,3016
Wilson Santos,Giants,0.0,0.0,5.42,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.76,5.84,6.28,5.69,0.0,0.0,999.0,sa657788,1.0,0,3231
Hector Galvan,,0.0,0.0,5.56,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.59,4.99,3.96,5.69,0.0,0.0,999.0,sa737570,0,0,3020
Jose Samayoa,,0.0,0.0,5.57,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.56,6.08,4.21,5.69,0.0,0.0,999.0,sa737921,0,0,2914
